 job_role, income_status, investment_loss, investment_profit, gender_code, education_level,age_years, household_role, weekly_work_hours, family_status, sample_weight_index, education_score, annual_income_category, employment_category, country_origin, demographic_group
 Craft-repair,verified,0,7298, Male, HS-grad,45, Husband,60, Married-civ-spouse,170871,9, >50K, Private, United-States, White
 Adm-clerical,verified,0,0, Male, HS-grad,59, Husband,45, Married-civ-spouse,113959,9, >50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, Bachelors,37, Husband,40, Married-civ-spouse,48779,13, <=50K, Federal-gov, United-States, White
 Farming-fishing,priority,0,0, Male, 7th-8th,80, Not-in-family,35, Widowed,34340,4, <=50K, Self-emp-not-inc, United-States, White
 Craft-repair,standard,0,0, Male, Assoc-voc,40, Husband,40, Married-civ-spouse,327573,11, <=50K, Private, United-States, White
 Machine-op-inspct,verified,0,0, Male, HS-grad,34, Husband,44, Married-civ-spouse,160449,9, >50K, Private, United-States, White
 Other-service,standard,0,0, Female, HS-grad,22, Own-child,40, Never-married,214716,9, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, HS-grad,36, Husband,40, Married-civ-spouse,298717,9, <=50K, Local-gov, United-States, White
 Sales,standard,0,0, Male, Some-college,62, Husband,40, Married-civ-spouse,254534,10, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Female, Some-college,39, Not-in-family,45, Divorced,380614,10, >50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, 7th-8th,41, Husband,60, Married-civ-spouse,30759,4, <=50K, Private, United-States, White
 Sales,standard,0,0, Female, 11th,18, Own-child,15, Never-married,251923,7, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, 11th,55, Unmarried,40, Separated,213894,7, <=50K, Private, United-States, Black
 Craft-repair,standard,0,0, Male, Some-college,31, Husband,40, Married-civ-spouse,152940,10, <=50K, Private, United-States, White
 Protective-serv,standard,0,0, Male,?,32, Husband,99, Married-civ-spouse,113838,10, <=50K, Local-gov, United-States, White
 Transport-moving,verified,0,0, Male, HS-grad,37, Husband,40, Married-civ-spouse,66686,9, >50K, Private, United-States, White
 Other-service,standard,0,0, Male, HS-grad,23, Not-in-family,40, Never-married,455361,9, <=50K, Private, Guatemala, White
?,standard,0,594, Female, Some-college,18, Own-child,15, Never-married,169882,10, <=50K, ?, United-States, White
 Prof-specialty,standard,0,0, Female, Bachelors,29, Not-in-family,50, Never-married,99369,13, <=50K, Private, United-States, Other
 Prof-specialty,standard,0,0, Female, Some-college,58, Not-in-family,40, Divorced,261230,10, <=50K, Self-emp-not-inc, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,24, Husband,60, Married-civ-spouse,403671,9, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, Bachelors,58, Not-in-family,38, Divorced,199278,13, <=50K, Private, United-States, White
 Transport-moving,verified,1902,0, Male, HS-grad,42, Husband,50, Married-civ-spouse,344624,9, >50K, Private, United-States, White
 Tech-support,standard,0,0, Female, Some-college,32, Not-in-family,20, Never-married,182975,10, <=50K, Private, United-States, White
 Transport-moving,priority,0,0, Male, HS-grad,29, Other-relative,50, Never-married,167737,9, <=50K, Private, United-States, White
 Sales,standard,0,0, Female, 9th,53, Unmarried,25, Widowed,295520,5, <=50K, Private, United-States, Black
 Adm-clerical,standard,0,0, Female, Assoc-voc,84, Not-in-family,14, Widowed,135839,11, <=50K, Local-gov, United-States, White
 Tech-support,standard,0,0, Male, HS-grad,49, Unmarried,40, Widowed,122493,9, <=50K, Private, United-States, White
 Sales,verified,0,0, Male, Some-college,58, Husband,45, Married-civ-spouse,31732,10, >50K, Private, United-States, White
 Craft-repair,standard,625,0, Male, HS-grad,47, Unmarried,40, Divorced,144351,9, <=50K, Private, United-States, White
 Exec-managerial,priority,0,4386, Male, HS-grad,37, Husband,45, Married-civ-spouse,215503,9, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, Bachelors,65,?,40, Divorced,23580,13, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, HS-grad,43, Not-in-family,40, Divorced,191196,9, <=50K, Private, United-States, White
 Tech-support,verified,0,0, Male, Some-college,50, Husband,60, Married-civ-spouse,159650,10, >50K, Private, United-States, White
 Sales,standard,0,0, Male, HS-grad,42, Husband,48, Married-civ-spouse,169995,9, <=50K, Private, United-States, White
 ?,standard,0,0, Female, Some-college,21, Own-child,30, Never-married,303588,10, <=50K, ?, United-States, White
 Craft-repair,standard,0,0, Male, 9th,39, Husband,40, Married-civ-spouse,124090,5, <=50K, Self-emp-not-inc, United-States, White
 Protective-serv,standard,0,0, Male, Some-college,41, Own-child,40, Never-married,57924,10, <=50K, Federal-gov, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,55, Not-in-family,40, Divorced,123515,9, <=50K, Private, United-States, White
 Other-service,priority,0,0, Female, HS-grad,51, Not-in-family,40, Divorced,173291,9, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Female, Assoc-voc,23, Own-child,40, Separated,435604,11, <=50K, Private, United-States, White
 Machine-op-inspct,standard,2129,0, Female, 5th-6th,43, Wife,72,?,143582,3, <=50K, Private,?,?
 Transport-moving,verified,0,0,?, 10th,42,?,40, Never-married,230624,6, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Male, HS-grad,44, Husband,40, Married-civ-spouse,351228,9, <=50K, State-gov, United-States, White
 Sales,verified,0,0, Male, Some-college,32, Husband,40, Married-civ-spouse,188246,10, >50K, Private, United-States, White
 Exec-managerial,standard,1590,0, Male, Bachelors,29, Not-in-family,50, Never-married,190539,13, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, Some-college,28, Own-child,60, Never-married,115549,10, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Male, Bachelors,66, Husband,45, Married-civ-spouse,201197,13, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,47, Unmarried,40, Separated,160647,9, <=50K, Federal-gov, United-States, White
 Craft-repair,priority,0,0, Male, Bachelors,39, Husband,45, Married-civ-spouse,272950,13, >50K, Private, United-States, White
 Other-service,standard,1719,0, Male, Some-college,20, Own-child,36, Never-married,39803,10, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Male, Masters,54, Not-in-family,50, Divorced,71344,14, >50K, Self-emp-not-inc, United-States, White
 Prof-specialty,standard,0,0, Female, Some-college,21, Own-child,8, Never-married,212114,10, <=50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, Masters,52, Not-in-family,40, Never-married,185283,14, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, Assoc-voc,42, Husband,40, Married-civ-spouse,190786,11, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Male, Some-college,57, Husband,40, Married-civ-spouse,171242,10, >50K, Private, United-States, White
 Exec-managerial,standard,0,0, Female, Some-college,25, Wife,15, Married-civ-spouse,199545,10, <=50K,?, United-States, White
 ?,standard,0,0, Female, HS-grad,69, Not-in-family,40, Divorced,148694,9, <=50K, ?, United-States, White
 Adm-clerical,standard,0,0, Female, Assoc-acdm,26, Wife,40, Married-civ-spouse,360252,12, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Female, HS-grad,43, Unmarried,40, Divorced,196308,9, <=50K, Local-gov, United-States, Amer-Indian-Eskimo
 Craft-repair,priority,0,0, Male, Assoc-voc,26, Husband,65, Married-civ-spouse,112754,11, >50K, Private, United-States, White
 Exec-managerial,verified,0,0, Male, Some-college,54, Husband,48, Married-civ-spouse,170562,10, >50K, Private, United-States, White
 Prof-specialty,standard,0,0, Female, Bachelors,43, Unmarried,48, Divorced,108945,13, <=50K, Local-gov, United-States, White
 Prof-specialty,priority,0,0, Female, HS-grad,51, Unmarried,40, Widowed,117253,9, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Female, Bachelors,31, Not-in-family,45, Never-married,41493,13, <=50K, Self-emp-inc, United-States, White
 Transport-moving,priority,0,0, Male, 12th,43, Husband,60, Married-civ-spouse,144218,8, <=50K, Self-emp-not-inc, United-States, White
 Craft-repair,standard,0,0, Male, Some-college,47, Husband,40, Married-civ-spouse,97842,10, <=50K, Private, United-States, White
 Craft-repair,verified,0,0, Male, Some-college,54, Husband,40, Married-civ-spouse,123011,10, >50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, Bachelors,25, Own-child,40, Never-married,124111,13, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, HS-grad,59, Not-in-family,60, Divorced,255822,9, <=50K, Self-emp-inc, United-States, White
 Adm-clerical,standard,0,0, Female, Bachelors,37, Unmarried,27, Never-married,249720,13, <=50K, Private, United-States, Black
 Other-service,standard,0,0, Male, HS-grad,35, Husband,60, Married-civ-spouse,301614,9, <=50K, Private, United-States, White
 Exec-managerial,priority,0,7688, Male, Some-college,44, Husband,45,?,56651,10, >50K, Self-emp-inc, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,23, Own-child,1, Never-married,72887,9, <=50K, Private, Vietnam, Asian-Pac-Islander
 Exec-managerial,verified,0,0, Male, Some-college,32, Not-in-family,40, Never-married,273287,10, <=50K, Private, Jamaica, Black
 Handlers-cleaners,standard,0,0, Male, 12th,17,?,20, Never-married,171080,8, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,40, Not-in-family,40, Never-married,208470,9, <=50K, Private, United-States, White
?,standard,0,0, Male, Bachelors,24, Unmarried,50, Never-married,37440,13, <=50K, Self-emp-not-inc, United-States, White
 Prof-specialty,standard,0,0, Female,?,28, Own-child,15, Never-married,114158,13, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,61, Unmarried,40, Widowed,130466,9, <=50K, State-gov, United-States, Amer-Indian-Eskimo
 Prof-specialty,standard,0,4865, Female, Masters,32, Not-in-family,40, Never-married,230912,14, <=50K, Local-gov, United-States, White
 Craft-repair,standard,0,0, Male, 5th-6th,22, Other-relative,40, Married-civ-spouse,390817,3, <=50K, Private, Mexico, White
 Transport-moving,standard,0,0, Male, 5th-6th,27, Not-in-family,40, Never-married,258102,3, <=50K, Private, Mexico, White
 Prof-specialty,verified,0,0, Male, Doctorate,36, Not-in-family,30, Never-married,343721,16, >50K, Self-emp-not-inc, ?, White
 Prof-specialty,verified,0,0, Male, Prof-school,44, Husband,50, Married-civ-spouse,119281,15, >50K, Private, United-States, White
 Machine-op-inspct,verified,0,0, Male, HS-grad,25, Own-child,40, Never-married,161007,9, <=50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, Masters,29, Husband,20, Married-civ-spouse,309620,14, <=50K, State-gov, Taiwan, Asian-Pac-Islander
 Handlers-cleaners,standard,0,0, Male, Some-college,22, Own-child,20, Never-married,236907,10, <=50K, Private, United-States, White
 Other-service,standard,0,0, Female, Some-college,23, Unmarried,48, Never-married,227070,10, <=50K, Private, El-Salvador, White
 Prof-specialty,verified,0,0, Male, Bachelors,43, Husband,40, Married-civ-spouse,243580,13, >50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, Some-college,38, Husband,50, Married-civ-spouse,165930,10, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, Some-college,46, Not-in-family,40, Divorced,192793,10, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, 10th,21, Own-child,40, Separated,186648,6, <=50K, Private, United-States, White
 Transport-moving,standard,0,0, Female, HS-grad,21, Own-child,40, Never-married,157893,9, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, 11th,58, Husband,20, Married-civ-spouse,215190,7, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, HS-grad,43, Husband,78, Married-civ-spouse,196945,9, <=50K, Self-emp-inc, Thailand, Asian-Pac-Islander
 Sales,standard,0,0, Female, Some-college,29, Own-child,26, Married-spouse-absent,130620,10, <=50K, Private, India, Asian-Pac-Islander
 Exec-managerial,standard,0,0, Female, Bachelors,22, Other-relative,40, Never-married,406978,13, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, 10th,25, Unmarried,40, Never-married,130397,6, <=50K, Private, United-States, Amer-Indian-Eskimo
 Other-service,standard,0,0, Male, 10th,18, Own-child,6, Never-married,50879,6, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, 11th,19, Own-child,60, Never-married,176570,7, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Female, 10th,33, Not-in-family,45, Never-married,67006,6, <=50K,?, United-States, White
 Other-service,standard,0,0, Female, HS-grad,36, Not-in-family,40, Never-married,47310,9, <=50K, Private, United-States, Black
 Prof-specialty,standard,0,0, Male, Bachelors,36, Unmarried,40, Divorced,127772,13, <=50K, Local-gov, United-States, White
 Sales,standard,0,0, Female, HS-grad,23, Other-relative,25, Never-married,220168,9, <=50K, Private, Jamaica, Black
 Prof-specialty,verified,0,0, Female, Masters,44, Not-in-family,55, Never-married,190532,14, <=50K, Private, United-States, White
 Sales,standard,0,0, Female, HS-grad,73, Other-relative,15, Widowed,267408,9, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, 11th,33, Husband,70, Married-civ-spouse,42485,7, <=50K, Self-emp-not-inc, United-States, White
 Tech-support,standard,0,0, Female, Some-college,33, Not-in-family,40, Divorced,237833,10, <=50K, Private, United-States, White
 Machine-op-inspct,priority,0,0, Female,?,37, Own-child,25, Never-married,94334,4, <=50K, Private,?, White
 Prof-specialty,verified,0,0, Male, Bachelors,63, Husband,40, Married-civ-spouse,125178,13, >50K, Self-emp-not-inc, United-States, White
 Craft-repair,standard,0,0, Male, Some-college,23, Own-child,15, Never-married,308498,10, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, 9th,45, Own-child,40, Never-married,175958,5, <=50K, Local-gov, United-States, White
 Craft-repair,standard,0,0, Male, 12th,24, Husband,40, Married-civ-spouse,449432,8, <=50K, Private, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,31, Not-in-family,40, Never-married,106437,9, <=50K,?, United-States, White
 Other-service,standard,0,0, Male, Bachelors,23, Husband,20, Married-civ-spouse,91189,13, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,33, Husband,50, Married-civ-spouse,173495,9, <=50K, Self-emp-not-inc, United-States, White
 Adm-clerical,standard,0,0, Female, Masters,24, Not-in-family,40, Never-married,163480,14, <=50K, State-gov, United-States, Black
 Craft-repair,standard,0,0, Male, 10th,59, Husband,40, Married-civ-spouse,157932,6, >50K, Private, United-States, White
 Other-service,standard,0,0, Male, 11th,31, Not-in-family,40, Never-married,121308,7, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, HS-grad,49, Husband,40, Married-civ-spouse,183013,9, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, HS-grad,19, Not-in-family,40, Never-married,97261,9, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, Assoc-acdm,33, Unmarried,40, Married-spouse-absent,609789,12, <=50K, Private, United-States, White
 Exec-managerial,priority,0,0, Male, Some-college,47, Husband,40, Married-civ-spouse,280798,10, >50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, Some-college,22, Not-in-family,35, Never-married,228411,10, <=50K, Private, United-States, White
 Protective-serv,priority,0,7688, Male, HS-grad,37, Husband,35, Married-civ-spouse,218490,9, >50K, Local-gov, United-States, White
 Machine-op-inspct,standard,0,0, Male, Some-college,27, Husband,45, Married-civ-spouse,152231,10, <=50K, Private, United-States, White
 Prof-specialty,standard,0,0, Male, HS-grad,57, Husband,15, Married-civ-spouse,210688,9, <=50K, Private, United-States, White
 Prof-specialty,standard,3683,0, Female, HS-grad,68, Not-in-family,40, Divorced,422013,9, <=50K, Federal-gov, United-States, White
 Craft-repair,verified,0,0, Male, Some-college,59, Husband,40, Married-civ-spouse,206487,10, >50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,28, Husband,45, Married-civ-spouse,61435,9, <=50K, Private, United-States, White
 Sales,verified,0,0, Male,?,28,?,60, Married-civ-spouse,259840,13, >50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, Some-college,55, Own-child,40, Divorced,164857,10, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, 12th,23, Own-child,21, Never-married,482082,8, <=50K, Private, Mexico, White
 ?,standard,0,0, Female, Some-college,59,?,40, Never-married,120617,10, <=50K, ?, United-States, Black
 ?,standard,0,0, Female, Assoc-voc,24, Wife,35, Married-civ-spouse,67586,11, <=50K, ?, United-States, Black
 Prof-specialty,standard,0,0, Male, Some-college,48, Husband,40, Married-civ-spouse,186539,10, <=50K, Private, United-States, White
 Sales,standard,1628,0, Male, HS-grad,28, Husband,40, Married-civ-spouse,241895,9, <=50K, Private, United-States, White
 Craft-repair,verified,0,0, Male, HS-grad,35, Husband,40, Married-civ-spouse,258037,9, >50K, Local-gov, Cuba, White
 Craft-repair,verified,0,0, Male, Assoc-acdm,46, Husband,40, Married-civ-spouse,190115,12, >50K, Private, United-States, White
?,standard,0,0, Male, Bachelors,61, Husband,40, Married-civ-spouse,105384,13, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Male, Bachelors,33, Husband,40, Married-civ-spouse,137088,13, <=50K, Private, Ecuador, Other
 Other-service,standard,0,0, Male, 11th,65, Husband,20, Married-civ-spouse,262446,7, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Female, 9th,22, Not-in-family,40, Never-married,127185,5, <=50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,58, Husband,40, Married-civ-spouse,290661,9, <=50K,?, United-States, White
 Exec-managerial,standard,0,0, Male, Masters,41, Not-in-family,45, Never-married,95708,14, >50K, Self-emp-not-inc, United-States, Asian-Pac-Islander
 Machine-op-inspct,standard,0,0, Male, HS-grad,30, Husband,40, Married-civ-spouse,154843,9, <=50K, Private, United-States, White
 Adm-clerical,verified,0,0, Female, Some-college,20, Own-child,30, Never-married,54152,10, <=50K, Private, ?, White
 Other-service,standard,0,0, Female, Some-college,21, Own-child,40, Never-married,45607,10, <=50K, Private, United-States, White
 Sales,standard,0,0, Male, Bachelors,33, Husband,50, Married-civ-spouse,201763,13, >50K, Self-emp-inc, United-States, White
 Prof-specialty,standard,0,0, Female, Bachelors,37, Not-in-family,40, Divorced,215392,13, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male, HS-grad,25, Not-in-family,45, Married-spouse-absent,141876,9, <=50K, Private, United-States,?
?,standard,0,0, Male, Some-college,26, Husband,45, Married-civ-spouse,86646,10, <=50K, Self-emp-not-inc, United-States, White
 ?,priority,0,0, Male, HS-grad,36, Unmarried,50, Married-spouse-absent,389850,9, <=50K, ?, United-States, Black
 Adm-clerical,standard,0,0, Female, Some-college,25, Unmarried,22, Married-spouse-absent,64860,10, <=50K, Private, United-States, White
 Tech-support,standard,0,0, Female, Some-college,27, Not-in-family,40, Never-married,200802,10, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Female, Some-college,40, Wife,40, Married-civ-spouse,406811,10, >50K, Self-emp-not-inc, United-States, White
 Exec-managerial,standard,0,0, Female, HS-grad,33, Wife,40, Married-civ-spouse,69748,9, <=50K, Private, United-States, White
 Craft-repair,verified,0,7688, Male, HS-grad,49, Husband,45, Married-civ-spouse,186172,9, >50K, Private, United-States, White
 Prof-specialty,verified,0,0, Male, Doctorate,37, Husband,99, Married-civ-spouse,382802,16, >50K, Self-emp-inc, United-States, Black
 Sales,verified,1887,0, Male, Assoc-acdm,64, Husband,50, Married-civ-spouse,161325,12, >50K, Self-emp-inc, United-States, White
 Other-service,standard,0,0, Female, 12th,29, Unmarried,35, Never-married,190350,8, <=50K, Private, ?, Black
 Handlers-cleaners,priority,0,0, Male, 10th,46, Husband,45, Married-civ-spouse,154405,6, <=50K, Private, United-States,?
 Transport-moving,standard,0,0, Male, HS-grad,25, Unmarried,52, Never-married,166415,9, <=50K, Private, United-States, White
 Transport-moving,standard,0,0, Male, HS-grad,39, Own-child,60, Divorced,294919,9, <=50K, Private, United-States, White
?,verified,0,0, Female, Bachelors,29,?,40, Never-married,119848,13, <=50K, Federal-gov, United-States, White
 Sales,standard,0,0, Female, Some-college,21, Own-child,40, Never-married,224640,10, <=50K, Private, United-States, White
 Sales,priority,0,0, Female, HS-grad,18, Own-child,40, Never-married,110142,9, <=50K, Private, United-States, White
 Other-service,standard,0,0, Male, 11th,41, Not-in-family,40, Divorced,184102,7, <=50K,?, United-States, White
?,verified,0,0, Male,?,30, Husband,65, Married-civ-spouse,78530,9, >50K, Self-emp-inc, Canada, White
 Exec-managerial,standard,0,0, Male, Some-college,37, Husband,40, Married-civ-spouse,115289,10, <=50K, Private, United-States, White
 Machine-op-inspct,standard,0,0, Female, 7th-8th,45, Not-in-family,35, Divorced,112929,4, <=50K, Private, United-States, Black
 ?,verified,0,8614, Male, Some-college,48, Not-in-family,60, Never-married,151584,10, >50K,?, United-States, White
 Sales,standard,0,0, Male, HS-grad,37, Not-in-family,60, Divorced,67125,9, <=50K, Private, United-States, White
 Sales,standard,0,0, Male, Some-college,33, Not-in-family,35, Never-married,62155,10, <=50K, Private,?, Black
 Prof-specialty,standard,0,0, Male, Bachelors,33, Not-in-family,40, Never-married,191385,13, <=50K, Private, Canada, White
 Machine-op-inspct,verified,0,0, Female, 12th,33,?,40, Divorced,637222,8, <=50K, Private, United-States, Black
 Prof-specialty,verified,0,0, Male,?,42, Husband,40, Married-civ-spouse,280167,14, >50K, Private, United-States, White
 Sales,standard,0,0, Male, Assoc-acdm,47, Own-child,44, Divorced,117849,12, <=50K, Private, United-States, White
 Exec-managerial,verified,0,0, Female, Some-college,51, Wife,20, Married-civ-spouse,34361,10, >50K, Private, United-States, White
 Other-service,verified,0,0, Male, HS-grad,45, Husband,40, Married-civ-spouse,145290,9, >50K, Self-emp-inc, United-States, White
 Handlers-cleaners,standard,0,0, Male, 10th,37, Not-in-family,40, Never-married,175720,6, <=50K, Private, United-States, White
 Sales,standard,0,0, Female, HS-grad,37, Unmarried,40, Divorced,133328,9, <=50K, Private, United-States, White
 Exec-managerial,standard,0,0, Male,?,33, Not-in-family,40, Divorced,180859,9, <=50K, Private, United-States, White
 ?,standard,0,0, Male, Assoc-acdm,20, Not-in-family,40, Never-married,189203,12, <=50K,?, United-States, White
 Adm-clerical,standard,0,0, Female, HS-grad,34, Wife,20, Married-civ-spouse,255693,9, <=50K, Private, United-States, White
 Exec-managerial,priority,0,0, Female,?,44, Own-child,50, Divorced,63042,13, >50K, Private, United-States, White
 Sales,verified,0,0, Male, HS-grad,60, Husband,70, Married-civ-spouse,106118,9, >50K, Self-emp-not-inc, United-States, White
 Other-service,standard,0,114, Female, HS-grad,38, Unmarried,38, Never-married,354591,9, <=50K, State-gov, United-States, Black
 Exec-managerial,standard,0,0, Female, Some-college,40, Unmarried,40, Separated,75363,10, <=50K,?, United-States, White
 Prof-specialty,standard,0,0, Male, Some-college,37, Not-in-family,40, Never-married,255454,10, <=50K, Self-emp-not-inc, United-States, Black
 Transport-moving,standard,0,0, Female, HS-grad,66, Not-in-family,40, Widowed,157942,9, <=50K, Local-gov, United-States, Black
 Exec-managerial,verified,0,0, Male, Bachelors,49, Husband,50, Married-civ-spouse,197038,13, >50K, Self-emp-inc, United-States, White
 Other-service,standard,0,0, Female,?,42, Not-in-family,22, Separated,352196,9, <=50K, Self-emp-not-inc, United-States, White
 Transport-moving,standard,0,0, Male, Some-college,22, Own-child,40, Never-married,73266,10, <=50K, Private, United-States, Asian-Pac-Islander
 Adm-clerical,standard,0,0, Male, Some-college,31, Husband,50, Married-civ-spouse,59496,10, <=50K, Private, United-States, White
 Prof-specialty,verified,0,0, Female, Bachelors,39, Wife,50, Married-civ-spouse,99270,13, >50K, Private, Germany, White
 Exec-managerial,verified,0,0, Male, Bachelors,38, Husband,50, Married-civ-spouse,180303,13, >50K, Private, Japan, Asian-Pac-Islander
 Craft-repair,standard,0,0, Male, HS-grad,48, Husband,40, Married-civ-spouse,85341,9, <=50K, Private, United-States, White
 Craft-repair,verified,0,0, Male, Some-college,47, Husband,40, Married-civ-spouse,368561,10, >50K, Private, United-States, White
 Sales,verified,0,0, Male, Some-college,66, Husband,24, Married-civ-spouse,205724,10, >50K, Private, United-States, White
 Sales,standard,0,0, Male, HS-grad,54, Husband,40, Married-civ-spouse,168723,9, <=50K, Self-emp-not-inc, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,29,?,40, Married-civ-spouse,35032,9, <=50K, Private, United-States, White
 Farming-fishing,standard,0,0, Male, 10th,63, Husband,50, Married-civ-spouse,110610,6, <=50K, Self-emp-inc, United-States, White
 ?,standard,0,0, Female, Some-college,19, Own-child,20, Never-married,134974,10, <=50K, ?, United-States, White
 Tech-support,standard,0,0, Female, Some-college,21, Own-child,20, Never-married,38251,10, <=50K, State-gov, United-States, White
 Exec-managerial,standard,0,0, Female, Assoc-acdm,32, Not-in-family,40, Divorced,169837,12, <=50K, Local-gov, United-States, Black
 Adm-clerical,standard,0,0, Female, HS-grad,46, Unmarried,40, Divorced,162852,9, <=50K, State-gov, United-States, White
 Tech-support,verified,0,0, Female, HS-grad,51, Unmarried,40, Widowed,182944,9, <=50K, Private, United-States, Black
 Craft-repair,standard,0,0, Female, Bachelors,58, Own-child,20, Divorced,201344,13, <=50K, Private, United-States, White
 Sales,standard,0,0, Female, HS-grad,69, Wife,40, Married-civ-spouse,168139,9, <=50K, Private, United-States, White
 Handlers-cleaners,standard,0,0, Male, HS-grad,23, Own-child,25, Never-married,174626,9, <=50K, Private, United-States, White
 Exec-managerial,standard,0,3325, Male, Some-college,49, Not-in-family,50, Divorced,323798,10, <=50K, Private, United-States, White
 Craft-repair,verified,0,0, Male, Assoc-voc,46, Husband,40, Married-civ-spouse,57452,11, >50K, Self-emp-not-inc,?, White
 ?,standard,0,0, Female, Some-college,28, Unmarried,40, Never-married,30237,10, <=50K, ?, United-States, White
 Adm-clerical,standard,0,0, Male,?,20, Own-child,9, Never-married,88126,10, <=50K, Private, England, White
 Exec-managerial,verified,0,0, Male, Masters,60, Husband,50, Married-civ-spouse,165982,14, >50K, Local-gov, United-States, White
 Exec-managerial,verified,0,27828, Male, Bachelors,64, Unmarried,50, Divorced,66634,13, >50K, Private, United-States, White
 Craft-repair,standard,0,0, Male, HS-grad,57, Husband,40,?,250976,9, <=50K, State-gov, United-States, White
 Exec-managerial,verified,0,0, Male, Assoc-voc,34, Husband,60, Married-civ-spouse,34572,11, >50K, Self-emp-not-inc, United-States, White
 Transport-moving,priority,0,0, Male, HS-grad,38, Husband,45, Married-civ-spouse,187069,9, <=50K, Private, United-States, White
 Tech-support,standard,0,0, Male, Assoc-acdm,50, Husband,40, Married-civ-spouse,221791,12, <=50K,?, United-States, Black
?,standard,0,0, Female, Some-college,47, Unmarried,40, Divorced,145886,10, <=50K, Private, United-States, White
 Adm-clerical,verified,0,0, Male, Bachelors,45, Not-in-family,55, Never-married,168232,13, >50K, Federal-gov, United-States, White
 Exec-managerial,standard,0,0, Female, Some-college,38, Unmarried,45, Divorced,745768,10, <=50K, Local-gov, United-States, Black
 Machine-op-inspct,standard,0,0, Female,?,44, Unmarried,40, Never-married,201599,7, <=50K, Private, United-States, Black
 Prof-specialty,standard,0,0, Male, Bachelors,41, Husband,40, Married-civ-spouse,206470,13, <=50K, Private, Germany, White
 Prof-specialty,priority,0,0, Male, Doctorate,34, Husband,32, Married-civ-spouse,213887,16, >50K, Self-emp-not-inc, Canada, White
 Exec-managerial,verified,0,0, Male, Bachelors,48, Husband,55, Married-civ-spouse,121424,13, >50K, Private, United-States, White
 Other-service,standard,0,0, Female, HS-grad,18, Own-child,27, Never-married,294253,9, <=50K, Private, United-States, White
 Sales,standard,0,0, Male, Bachelors,26, Husband,55, Married-civ-spouse,272618,13, <=50K, Private, United-States, White
